# Time-averaged data for fix 3
# TimeStep c_output_pressure v_lx v_ly v_lz
477000 1004.55 36.0306 158.974 21.7494
478000 1003.81 35.9558 159.049 21.8011
479000 1004.05 35.9936 158.959 21.7873
480000 1001.28 35.9522 159.076 21.7854
481000 987.702 36.0282 158.941 21.7549
482000 1008.45 35.9753 159.071 21.7715
483000 995.884 36.0449 158.993 21.7391
484000 1001.01 36.0202 158.88 21.7171
485000 1004.26 36.0662 158.914 21.7221
486000 1010.78 36.1338 158.724 21.6887
487000 997.275 36.0229 158.906 21.7292
488000 994.869 36.0724 158.764 21.7103
489000 988.755 36.0453 158.689 21.7504
490000 1000.62 35.9997 159.021 21.736
491000 1004.88 36.0013 159.012 21.7451
492000 993.847 35.9985 158.754 21.7798
493000 1001.73 36.058 158.871 21.7361
494000 996.715 36.0451 158.865 21.7504
495000 1003.97 36.1401 158.513 21.7095
496000 1010.52 36.0862 158.779 21.681
497000 986.876 36.0696 158.743 21.7116
498000 1012.88 36.0573 158.758 21.7034
499000 995.396 36.0598 158.654 21.7257
500000 999.71 36.0971 158.751 21.6929
501000 999.135 36.0388 158.89 21.7067
502000 1005.23 35.9863 158.863 21.7852
503000 994.221 36.0454 158.841 21.718
504000 1011.13 36.0892 158.824 21.7065
505000 993.686 36.0042 158.873 21.7614
506000 1008.28 36.0897 158.859 21.7197
507000 1004.1 36.0659 158.785 21.7491
508000 1000.52 36.0117 158.948 21.7386
509000 998.92 36.0219 158.887 21.7219
510000 990.407 36.0178 158.958 21.7457
511000 1013.86 36.0505 158.853 21.7324
512000 984.525 36.0197 158.845 21.748
513000 1002.51 36.0712 158.711 21.7234
514000 999.83 35.9753 159.065 21.7622
515000 1004.87 36.027 158.98 21.7491
516000 995.105 35.9715 158.911 21.7657
517000 998.903 36.008 158.953 21.7503
518000 998.182 36.094 158.779 21.6788
519000 1011.85 36.0683 158.804 21.739
520000 991.03 36.0656 158.781 21.7359
521000 996.048 35.9767 158.857 21.748
522000 1000.99 35.9642 159.089 21.7474
523000 1000.01 36.0548 158.883 21.7346
524000 1001.13 36.0041 158.819 21.7391
525000 1002.11 35.9633 158.951 21.7749
526000 987.991 36.0173 158.969 21.745
527000 1000.84 35.9993 158.951 21.753
528000 1011 36.0319 158.773 21.7583
529000 1007.86 35.9844 158.902 21.7515
530000 992.688 36.0454 159.104 21.7173
531000 991.433 36.071 158.832 21.7299
532000 1012.57 35.9976 158.838 21.7287
533000 1009.47 36.0692 158.726 21.7171
534000 993.287 36.043 158.783 21.7245
535000 982.956 36.0254 158.857 21.7616
536000 997.404 36.0293 158.779 21.7282
537000 1010 36.0308 158.79 21.7334
538000 997.66 36.0322 158.985 21.7621
539000 986.528 36.0604 158.711 21.7263
540000 1017.87 36.014 158.766 21.7277
541000 1006.95 36.0595 158.678 21.743
542000 993.641 35.9688 159.044 21.7701
543000 993.224 36.0274 158.756 21.7498
544000 1004.19 35.9653 158.897 21.7639
545000 1011.96 35.9596 158.995 21.7791
546000 979.592 35.9819 158.984 21.7452
547000 995.811 35.9949 158.707 21.7287
548000 1012.73 36.0556 158.753 21.6912
549000 986.143 35.9891 158.775 21.7279
550000 1001.88 36.007 158.861 21.7216
551000 1011.35 36.0127 158.784 21.7432
552000 1003.29 35.9608 158.963 21.7423
553000 991.896 35.9808 158.826 21.7439
554000 999.018 35.9934 158.916 21.7313
555000 998.073 35.953 159.035 21.7827
556000 1001.86 36.014 158.732 21.724
557000 1006.23 36.0033 158.808 21.7235
558000 987.805 35.9931 158.839 21.7356
559000 1009.57 36.0582 158.832 21.6966
560000 995.935 35.9864 158.838 21.7201
561000 998.562 36.0553 158.638 21.7158
562000 1001.32 36.0449 158.754 21.7321
563000 988.07 36.032 158.655 21.7495
564000 1008.93 35.9811 158.902 21.748
565000 984.785 35.9847 158.857 21.7634
566000 1018.4 36.0217 158.693 21.7308
567000 991.067 36.0237 158.77 21.7158
568000 991.957 36.0465 158.766 21.7473
569000 1000.88 36.0386 158.709 21.7254
570000 1008.94 36.0166 158.78 21.7209
571000 988.771 36.0478 158.759 21.703
572000 993.984 36.0065 158.787 21.757
573000 1005.01 36.0026 158.856 21.7409
574000 1001.36 35.9764 158.927 21.7486
575000 997.67 35.9942 158.831 21.7457
576000 994.384 36.0668 158.735 21.7371
577000 998.182 36.0252 158.912 21.7336
578000 1016.97 36.0211 158.865 21.7253
579000 986.174 36.0875 158.671 21.703
580000 999.18 36.0762 158.802 21.6925
581000 1002.22 36.0388 158.868 21.7171
582000 1006.09 36.039 158.798 21.7363
583000 995.14 36.0029 158.749 21.7377
584000 1010.82 36.0097 159.011 21.755
585000 994.761 35.9968 158.799 21.74
586000 998.005 35.9856 158.827 21.7399
587000 996.975 36.0191 158.752 21.6956
588000 1010.71 35.9812 158.791 21.7183
589000 996.468 35.9938 158.902 21.7549
590000 997.586 36.0484 158.771 21.7228
591000 994.671 36.0161 158.718 21.7066
592000 994.695 35.987 158.747 21.72
593000 1014.79 35.9807 158.89 21.7353
594000 990.22 35.9357 159.041 21.7604
595000 1002.17 35.9653 158.921 21.7657
596000 994.191 35.9493 158.9 21.7843
597000 1012.12 35.9434 159.06 21.7781
598000 980.384 35.9387 159.17 21.7932
599000 1008.43 35.9659 158.879 21.754
600000 999.901 36.0075 158.801 21.7463
601000 1012.34 36.0353 158.835 21.7287
602000 1001.65 36.0452 158.703 21.6924
603000 974.931 36.0092 158.777 21.7141
604000 1016.62 36.0581 158.665 21.72
605000 990.846 35.9498 158.89 21.7879
606000 995.006 35.9893 158.971 21.7746
607000 1010.13 36.0218 158.723 21.7285
608000 1000.32 35.9603 158.886 21.7578
609000 1000.56 36.0054 158.794 21.7634
610000 1002.53 35.9811 158.947 21.7611
611000 1001.78 36.0619 158.652 21.7403
612000 1005.31 36.0669 158.636 21.7115
613000 994.593 36.0453 158.806 21.7095
614000 999.852 36.0654 158.722 21.7229
615000 1000.81 36.0756 158.668 21.7213
616000 999.134 36.0235 158.968 21.7422
617000 1004.74 36.1064 158.679 21.7364
618000 999.67 36.0686 158.83 21.7558
619000 1000.46 36.0001 158.863 21.771
620000 1007.83 36.0811 158.605 21.7055
621000 987.851 36.1287 158.585 21.7038
622000 1016.08 36.1042 158.592 21.7274
623000 996.987 36.0755 158.713 21.7264
624000 983.105 36.0841 158.665 21.7193
625000 1015.17 36.0545 158.724 21.7394
626000 994.49 36.0612 158.724 21.7409
627000 1021.09 36.1003 158.567 21.7498
628000 991.497 35.9985 158.872 21.7703
629000 1007.15 36.0198 158.772 21.7486
630000 986.438 36.1247 158.631 21.7187
631000 994.435 36.0278 158.812 21.7629
632000 1027.64 36.0612 158.754 21.7187
633000 1012.87 36.0409 158.741 21.7304
634000 1036.81 36.0609 158.742 21.7453
635000 1042.78 36.0887 158.69 21.7062
636000 1056.66 36.0243 158.758 21.7217
637000 1068.54 36.0835 158.617 21.7014
638000 1091.85 36.0477 158.546 21.7363
639000 1077.74 36.0843 158.628 21.7006
640000 1092.55 36.0703 158.507 21.6951
641000 1101.19 36.1228 158.54 21.638
642000 1123.8 36.0802 158.483 21.6628
643000 1117.65 36.019 158.606 21.6895
644000 1132.86 36.0978 158.455 21.644
645000 1159.44 36.0013 158.649 21.6584
646000 1154.15 36.1041 158.405 21.6461
647000 1161.26 36.0311 158.513 21.6601
648000 1178.67 36.0589 158.445 21.6263
649000 1172.2 36.0821 158.392 21.6412
650000 1190.92 36.0729 158.356 21.5959
651000 1207.97 36.0648 158.401 21.62
652000 1234.6 36.047 158.566 21.6462
653000 1220.27 36.0293 158.459 21.6508
654000 1229.8 35.9968 158.576 21.6556
655000 1251.94 35.9862 158.601 21.6416
656000 1243.65 36.0434 158.533 21.6505
657000 1275.3 36.0462 158.322 21.6427
658000 1258.5 36.0642 158.402 21.6022
659000 1299.08 35.9824 158.47 21.6438
660000 1287.64 36.0082 158.389 21.6342
661000 1309.19 36.0043 158.465 21.647
662000 1306.44 36.0285 158.468 21.6101
663000 1340.3 35.9575 158.528 21.6653
664000 1327.02 36.0215 158.301 21.6395
665000 1343.47 36.0162 158.502 21.6171
666000 1366.36 36.0277 158.314 21.6143
